generic_name,commercial_name,presentation,active_substance,route,concentration,status
Sertralina,"Zoloft 600",Supositorios,Sertralina,Oftálmica,"10 mg",active
Diclofenaco,"Voltaren 900",Supositorios,Diclofenaco,Oral,"1 g",active
Dexametasona,"Decadron 400",Crema,Dexametasona,Oftálmica,"100 mg",active
Sertralina,"Zoloft 500",Jarabe,Sertralina,Intravenosa,"850 mg",active
Clonazepam,"Klonopin 200",Cápsulas,Clonazepam,Sublingual,"100 mg",active
Ceftriaxona,"Rocephin 200",Pomada,Ceftriaxona,Rectal,"10 mg",active
Amoxicilina,"Amoxil 800",Suspensión,Amoxicilina,Oral,"1 g",active
Diclofenaco,"Voltaren 800",Crema,Diclofenaco,Inhalatoria,"5 ml",active
Atorvastatina,"Lipitor 400",Jarabe,Atorvastatina,Inhalatoria,"250 mg",active
Ceftriaxona,"Rocephin 300",Suspensión,Ceftriaxona,Ótica,"100 mg",active
Loratadina,"Claritin 900",Gotas,Loratadina,Inhalatoria,"100 ml",active
Naproxeno,"Aleve 600",Suspensión,Naproxeno,Intramuscular,"400 mg",active
Ceftriaxona,"Rocephin 300",Tabletas,Ceftriaxona,Intramuscular,"400 mg",active
Ceftriaxona,"Rocephin 700",Supositorios,Ceftriaxona,Oral,"50 mg",active
Losartan,"Cozaar 300",Suspensión,Losartan,Oftálmica,"100 ml",active
Ciprofloxacino,"Cipro 600",Suspensión,Ciprofloxacino,Ótica,"500 mg",active
Fluoxetina,"Prozac 300",Inhalador,Fluoxetina,Sublingual,"500 mcg",active
Naproxeno,"Aleve 700",Inyectable,Naproxeno,Ótica,"5 ml",active
Ceftriaxona,"Rocephin 900",Jarabe,Ceftriaxona,Oral,"50 mg",active
Clonazepam,"Klonopin 700",Inhalador,Clonazepam,Tópica,"10 mg",active
Ceftriaxona,"Rocephin 600",Pomada,Ceftriaxona,Oral,"20 mg",active
Omeprazol,"Prilosec 400",Pomada,Omeprazol,Tópica,"500 mg",active
Atorvastatina,"Lipitor 500",Inyectable,Atorvastatina,Oftálmica,"50 mg/ml",active
Salbutamol,"Ventolin 300",Cápsulas,Salbutamol,Inhalatoria,"20 mg",active
Dexametasona,"Decadron 500",Cápsulas,Dexametasona,Sublingual,"10 mg",active
Ketorolaco,"Toradol 200",Supositorios,Ketorolaco,Ótica,"850 mg",active
Omeprazol,"Prilosec 200",Jarabe,Omeprazol,Oral,"400 mg",active
Dexametasona,"Decadron 100",Supositorios,Dexametasona,Intravenosa,"10 mg",active
Sertralina,"Zoloft 200",Cápsulas,Sertralina,Rectal,"10 mg",active
Diclofenaco,"Voltaren 600",Tabletas,Diclofenaco,Intramuscular,"2 mg",active
